epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.325,1.32519,1.4031,1.64953,0.69444,0.61489,0.66207,0.32144,1.73447,1.39435,2.00691,0.067219,0.000499203,0.000499203
2,636.099,1.28199,1.1902,1.61702,0.71656,0.63284,0.70214,0.45596,1.33555,1.23726,1.70263,0.0343659,0.000979418,0.000979418
3,947.197,1.24162,1.11878,1.58049,0.81082,0.74555,0.82093,0.53168,1.24192,0.98831,1.55107,0.001493,0.00143983,0.00143983
4,1258.4,1.17865,1.00589,1.52232,0.84875,0.78844,0.8678,0.5988,1.12818,0.81907,1.45541,0.0014109,0.0014109,0.0014109
5,1569.6,1.12155,0.91497,1.46535,0.86413,0.82341,0.88946,0.61403,1.11142,0.7638,1.4111,0.0013812,0.0013812,0.0013812
6,1882.12,1.082,0.8536,1.4285,0.89429,0.82846,0.90438,0.64559,1.04777,0.73256,1.36706,0.0013515,0.0013515,0.0013515
7,2193.23,1.05703,0.80494,1.40287,0.89767,0.85097,0.91706,0.66455,1.02644,0.67626,1.33739,0.0013218,0.0013218,0.0013218
8,2504.46,1.03274,0.77932,1.37935,0.9091,0.84873,0.92269,0.67101,1.00938,0.64636,1.31124,0.0012921,0.0012921,0.0012921
9,2816.12,1.00905,0.74257,1.36049,0.91581,0.88295,0.93838,0.69398,0.95718,0.59866,1.276,0.0012624,0.0012624,0.0012624
10,3127.12,0.98644,0.7131,1.34548,0.92378,0.88373,0.94195,0.70739,0.94565,0.57123,1.26162,0.0012327,0.0012327,0.0012327
11,3438.53,0.9715,0.68909,1.3222,0.92741,0.89198,0.94735,0.71774,0.91816,0.55096,1.23428,0.001203,0.001203,0.001203
12,3749.41,0.95566,0.67202,1.30979,0.92225,0.9017,0.94808,0.72621,0.90327,0.53209,1.22564,0.0011733,0.0011733,0.0011733
13,4061.31,0.93902,0.64762,1.29654,0.92054,0.90969,0.9507,0.73087,0.89459,0.51703,1.20933,0.0011436,0.0011436,0.0011436
14,4372.31,0.92463,0.63364,1.28133,0.93217,0.90656,0.95237,0.73702,0.88116,0.50571,1.20202,0.0011139,0.0011139,0.0011139
15,4683.17,0.91229,0.61752,1.27162,0.92907,0.91184,0.9548,0.74192,0.87192,0.49474,1.19468,0.0010842,0.0010842,0.0010842
16,4993.68,0.89905,0.5981,1.25946,0.93517,0.91388,0.95565,0.7467,0.86343,0.48107,1.18468,0.0010545,0.0010545,0.0010545
17,5304.66,0.88604,0.5823,1.24859,0.93728,0.91976,0.9563,0.7481,0.859,0.47082,1.18161,0.0010248,0.0010248,0.0010248
18,5615.41,0.87657,0.57358,1.24202,0.93673,0.92039,0.9572,0.7532,0.84999,0.46351,1.17444,0.0009951,0.0009951,0.0009951
19,5926.17,0.86416,0.55956,1.23008,0.94298,0.9187,0.95816,0.75713,0.84279,0.45634,1.17121,0.0009654,0.0009654,0.0009654
20,6237.33,0.85533,0.54895,1.22177,0.93929,0.92345,0.95853,0.76087,0.83881,0.45259,1.16534,0.0009357,0.0009357,0.0009357
21,6548.45,0.84155,0.5382,1.20963,0.93938,0.92653,0.95907,0.76316,0.83533,0.44377,1.16344,0.000906,0.000906,0.000906
22,6859.43,0.83308,0.5283,1.20293,0.94694,0.92336,0.95907,0.76411,0.83091,0.441,1.16199,0.0008763,0.0008763,0.0008763
23,7170.92,0.82094,0.51853,1.19379,0.93894,0.93351,0.95981,0.76525,0.83032,0.43766,1.16127,0.0008466,0.0008466,0.0008466
24,7482.08,0.81076,0.50699,1.1843,0.94137,0.9324,0.96089,0.76712,0.82708,0.43441,1.15939,0.0008169,0.0008169,0.0008169
25,7793.17,0.80273,0.50243,1.17852,0.94221,0.93243,0.96027,0.76792,0.82575,0.43209,1.1589,0.0007872,0.0007872,0.0007872
26,8103.18,0.7899,0.49154,1.17114,0.9411,0.93533,0.96126,0.76865,0.82382,0.42862,1.15801,0.0007575,0.0007575,0.0007575
27,8414.38,0.78336,0.48269,1.16254,0.94356,0.93338,0.96115,0.76933,0.82229,0.4256,1.15726,0.0007278,0.0007278,0.0007278
28,8725,0.77757,0.47729,1.16014,0.94421,0.9359,0.96198,0.77057,0.82057,0.42171,1.15657,0.0006981,0.0006981,0.0006981
29,9035.57,0.76384,0.46852,1.15006,0.94389,0.9347,0.96179,0.7717,0.81876,0.4201,1.15545,0.0006684,0.0006684,0.0006684
30,9346.62,0.76136,0.46488,1.14589,0.94354,0.9351,0.9617,0.77278,0.81692,0.41901,1.15449,0.0006387,0.0006387,0.0006387
31,9657.35,0.75018,0.45701,1.13953,0.94303,0.93716,0.962,0.77358,0.81494,0.41779,1.15309,0.000609,0.000609,0.000609
32,9967.24,0.74246,0.44662,1.1315,0.94399,0.93573,0.96181,0.77433,0.81358,0.41649,1.15251,0.0005793,0.0005793,0.0005793
33,10278.3,0.7352,0.44159,1.12703,0.94625,0.93408,0.9618,0.77509,0.81181,0.41498,1.15168,0.0005496,0.0005496,0.0005496
34,10589.4,0.7246,0.43334,1.11993,0.94772,0.93303,0.96188,0.77586,0.81062,0.41372,1.15105,0.0005199,0.0005199,0.0005199
35,10900.1,0.72021,0.4312,1.11547,0.94819,0.93235,0.96214,0.77595,0.80968,0.41238,1.15052,0.0004902,0.0004902,0.0004902
36,11210.6,0.71155,0.42573,1.10986,0.94839,0.93322,0.96237,0.77632,0.80955,0.41168,1.15082,0.0004605,0.0004605,0.0004605
