epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.416,1.99437,2.40877,1.9973,0.53551,0.51549,0.49832,0.19311,1.88676,1.843,1.75181,0.00332781,0.00332781,0.00332781
2,138.294,1.84964,1.98296,1.84245,0.56146,0.52472,0.52792,0.21421,1.99918,1.82619,1.89049,0.0065952,0.0065952,0.0065952
3,203.196,1.94529,2.17057,1.9513,0.45668,0.39914,0.39183,0.14217,2.10476,2.31814,1.99277,0.00979659,0.00979659,0.00979659
4,266.586,2.02004,2.34771,2.0397,0.4734,0.42164,0.40091,0.15407,2.10993,2.02286,2.05273,0.009703,0.009703,0.009703
5,331.023,1.97018,2.27419,2.01944,0.47305,0.46306,0.43292,0.16406,2.02919,2.0364,2.02774,0.009604,0.009604,0.009604
6,395.614,1.91956,2.17473,1.97856,0.58055,0.5196,0.5318,0.2236,1.92479,1.8003,1.88187,0.009505,0.009505,0.009505
7,460.073,1.88882,2.09608,1.95794,0.62324,0.52406,0.55628,0.22408,1.96157,1.78993,1.94618,0.009406,0.009406,0.009406
8,524.397,1.85032,2.0425,1.93612,0.62741,0.56757,0.61579,0.25672,1.90094,1.64607,1.86513,0.009307,0.009307,0.009307
9,588.048,1.80718,1.99174,1.8953,0.67988,0.56427,0.64069,0.28072,1.805,1.57119,1.7935,0.009208,0.009208,0.009208
10,652.229,1.78828,1.93126,1.88226,0.64838,0.56163,0.62376,0.24543,2.00993,1.59538,1.91579,0.009109,0.009109,0.009109
11,716.302,1.76802,1.87805,1.85956,0.70744,0.56987,0.64766,0.29157,1.8553,1.46856,1.80183,0.00901,0.00901,0.00901
12,780.664,1.76109,1.86079,1.84958,0.65145,0.60745,0.65011,0.28475,1.85188,1.43646,1.82481,0.008911,0.008911,0.008911
13,845.348,1.74557,1.83141,1.84845,0.71953,0.62327,0.6975,0.31001,1.83904,1.41382,1.80123,0.008812,0.008812,0.008812
14,909.534,1.72507,1.80022,1.83276,0.71294,0.63085,0.70235,0.34224,1.69719,1.34684,1.7048,0.008713,0.008713,0.008713
15,973.195,1.71908,1.76808,1.82352,0.73289,0.63085,0.71123,0.31079,1.81056,1.38793,1.76928,0.008614,0.008614,0.008614
16,1037.59,1.70136,1.75392,1.80414,0.74932,0.6611,0.73204,0.35258,1.67301,1.31404,1.7031,0.008515,0.008515,0.008515
17,1102.22,1.69056,1.70692,1.80017,0.7565,0.65194,0.73904,0.36354,1.68734,1.27955,1.67798,0.008416,0.008416,0.008416
18,1166.73,1.67264,1.67748,1.78248,0.75377,0.67666,0.74137,0.3678,1.69578,1.2591,1.68634,0.008317,0.008317,0.008317
19,1231.06,1.67258,1.66057,1.78071,0.77067,0.67233,0.75544,0.37528,1.68219,1.22473,1.67581,0.008218,0.008218,0.008218
20,1295.27,1.65069,1.64179,1.77199,0.81088,0.69611,0.77346,0.40136,1.62528,1.19239,1.64032,0.008119,0.008119,0.008119
21,1359.2,1.64772,1.6354,1.76941,0.79902,0.6578,0.76128,0.39029,1.63782,1.19166,1.62993,0.00802,0.00802,0.00802
